ocr_text_similarity,income_discrepancy_ratio,marks_discrepancy,duplicate_cert_count,duplicate_bank_count,fuzzy_name_match_score,certificate_tamper_flag,is_fraud,risk_label
0.924,1.02,1.5,1,1,0.99,0,0,Normal
0.43,3.71,28.9,3,3,0.54,1,1,High_Risk
0.921,1.02,1.5,1,1,0.95,0,0,Normal
0.906,0.95,0.0,1,1,0.97,0,0,Normal
0.9,1.0,0.5,1,1,0.94,0,0,Normal
0.951,1.04,1.1,1,1,0.95,0,0,Normal
0.346,4.53,18.8,4,2,0.51,1,1,High_Risk
0.9,1.0,0.1,1,1,0.94,0,0,Normal
0.583,2.12,15.8,4,3,0.54,1,1,Suspicious
0.989,1.03,1.9,1,1,0.93,0,0,Normal
0.864,1.04,0.8,1,1,0.98,0,0,Normal
0.962,0.99,1.5,1,1,0.96,0,0,Normal
0.968,0.96,0.5,1,1,0.94,0,0,Normal
0.866,0.99,1.7,1,1,0.94,0,0,Normal
0.89,1.01,1.7,1,1,0.93,0,0,Normal
0.912,0.96,1.3,1,1,0.95,0,0,Normal
0.948,0.99,1.6,1,1,0.9,0,0,Normal
0.937,0.98,1.9,1,1,0.95,0,0,Normal
0.883,0.99,1.1,1,1,0.97,0,0,Normal
0.39,4.65,11.1,3,3,0.37,1,1,High_Risk
0.889,1.02,0.8,1,1,0.96,0,0,Normal
0.937,0.96,0.7,1,1,0.98,0,0,Normal
0.916,0.99,2.0,1,1,0.92,0,0,Normal
0.914,1.01,0.4,1,1,0.95,0,0,Normal
0.851,1.01,0.4,1,1,0.96,0,0,Normal
0.899,1.03,0.0,1,1,0.96,0,0,Normal
0.884,0.99,0.4,1,1,0.97,0,0,Normal
0.306,2.57,26.4,4,2,0.63,1,1,High_Risk
0.38,2.47,31.6,2,4,0.61,1,1,Suspicious
0.863,0.97,1.5,1,1,0.99,0,0,Normal
0.474,3.53,31.4,2,4,0.47,0,1,Suspicious
0.915,1.02,1.8,1,1,0.98,0,0,Normal
0.892,0.98,0.9,1,1,0.95,0,0,Normal
0.951,1.02,0.0,1,1,0.95,0,0,Normal
0.929,0.97,1.9,1,1,0.97,0,0,Normal
0.855,1.04,0.9,1,1,0.94,0,0,Normal
0.954,1.02,0.2,1,1,0.91,0,0,Normal
0.868,1.02,0.4,1,1,0.96,0,0,Normal
0.973,1.02,0.7,1,1,0.93,0,0,Normal
0.923,1.02,1.6,1,1,0.91,0,0,Normal
0.648,3.2,29.7,2,4,0.47,1,1,Suspicious
0.894,1.02,0.3,1,1,0.97,0,0,Normal
0.304,2.22,24.9,2,4,0.53,1,1,High_Risk
0.934,1.02,0.9,1,1,0.91,0,0,Normal
0.894,0.95,0.6,1,1,0.94,0,0,Normal
0.89,1.01,0.1,1,1,0.98,0,0,Normal
0.872,0.95,0.6,1,1,0.92,0,0,Normal
0.349,3.39,19.1,3,4,0.38,0,1,High_Risk
0.889,0.99,0.0,1,1,1.0,0,0,Normal
0.909,0.96,1.2,1,1,1.0,0,0,Normal
0.888,0.97,1.9,1,1,0.92,0,0,Normal
0.901,1.04,0.1,1,1,0.93,0,0,Normal
0.933,1.04,1.1,1,1,0.97,0,0,Normal
0.923,1.0,0.6,1,1,0.93,0,0,Normal
0.929,1.04,1.5,1,1,0.95,0,0,Normal
0.896,1.03,1.6,1,1,0.94,0,0,Normal
0.886,0.97,2.0,1,1,0.94,0,0,Normal
0.267,4.19,25.0,4,2,0.45,0,1,High_Risk
0.507,4.1,15.0,2,3,0.33,1,1,High_Risk
0.366,2.02,28.8,4,3,0.4,1,1,High_Risk
0.867,0.98,0.3,1,1,0.92,0,0,Normal
0.957,1.03,1.7,1,1,0.98,0,0,Normal
0.871,0.96,0.1,1,1,0.93,0,0,Normal
0.956,0.97,0.1,1,1,0.9,0,0,Normal
0.978,1.03,0.3,1,1,0.98,0,0,Normal
0.384,4.54,25.6,3,2,0.62,1,1,High_Risk
0.977,0.98,1.6,1,1,0.94,0,0,Normal
0.983,0.97,0.5,1,1,0.9,0,0,Normal
0.89,0.95,1.4,1,1,0.98,0,0,Normal
0.856,1.0,0.6,1,1,0.91,0,0,Normal
0.982,0.96,1.7,1,1,0.92,0,0,Normal
0.96,0.96,0.9,1,1,0.93,0,0,Normal
0.89,1.05,1.5,1,1,0.99,0,0,Normal
0.912,0.99,0.9,1,1,0.95,0,0,Normal
0.913,1.02,0.6,1,1,0.94,0,0,Normal
0.972,1.05,1.2,1,1,0.92,0,0,Normal
0.501,2.79,12.6,3,3,0.6,0,1,Suspicious
0.855,1.04,0.6,1,1,0.93,0,0,Normal
0.924,1.0,0.6,1,1,0.94,0,0,Normal
0.496,2.92,17.2,2,3,0.63,0,1,High_Risk
0.315,1.83,34.0,2,2,0.6,1,1,High_Risk
0.903,0.98,0.4,1,1,0.91,0,0,Normal
0.981,1.01,0.8,1,1,0.97,0,0,Normal
0.421,2.99,19.1,3,2,0.66,1,1,High_Risk
0.893,1.02,0.8,1,1,0.92,0,0,Normal
0.986,1.02,0.2,1,1,0.91,0,0,Normal
0.898,1.02,1.6,1,1,0.96,0,0,Normal
0.964,1.04,0.7,1,1,0.92,0,0,Normal
0.459,4.87,20.8,2,4,0.66,1,1,High_Risk
0.932,1.01,1.0,1,1,0.99,0,0,Normal
0.973,1.03,0.6,1,1,0.96,0,0,Normal
0.869,1.02,1.8,1,1,0.97,0,0,Normal
0.947,0.97,0.7,1,1,0.93,0,0,Normal
0.283,2.98,11.1,2,4,0.7,0,1,High_Risk
0.919,1.03,1.5,1,1,0.94,0,0,Normal
0.922,0.99,0.4,1,1,0.96,0,0,Normal
0.885,1.01,0.2,1,1,1.0,0,0,Normal
0.888,0.96,1.1,1,1,0.98,0,0,Normal
0.858,0.99,1.5,1,1,0.97,0,0,Normal
0.962,0.97,0.9,1,1,0.93,0,0,Normal
0.888,0.95,1.8,1,1,0.93,0,0,Normal
0.947,1.03,1.0,1,1,0.98,0,0,Normal
0.972,1.03,0.1,1,1,0.98,0,0,Normal
0.911,1.02,1.7,1,1,0.91,0,0,Normal
0.923,0.98,0.2,1,1,0.98,0,0,Normal
0.212,2.73,13.5,5,2,0.42,1,1,Suspicious
0.865,1.01,0.9,1,1,0.91,0,0,Normal
0.873,0.99,1.2,1,1,0.99,0,0,Normal
0.982,0.99,1.5,1,1,0.9,0,0,Normal
0.415,2.49,23.9,4,2,0.33,0,1,High_Risk
0.925,1.02,1.5,1,1,1.0,0,0,Normal
0.467,4.57,34.2,4,3,0.47,1,1,Suspicious
0.918,1.03,1.0,1,1,0.9,0,0,Normal
0.88,1.01,0.6,1,1,0.94,0,0,Normal
0.916,1.01,1.5,1,1,0.94,0,0,Normal
0.917,0.98,0.0,1,1,0.99,0,0,Normal
0.937,1.01,0.7,1,1,0.93,0,0,Normal
