scheme_code,age,gender,state,education_level,marks_percent,family_income,nirf_rank,qs_rank,has_admission_offer,is_pwd,pwd_percent,ocr_caste_ok,ocr_income_ok,ocr_academic_ok,merit_score,decision
BVOBC,19,female,Meghalaya,12th,79.5,361000.0,3,999,1,0,0,1,1,1,81.8,Ineligible
ARG45,32,male,Karnataka,phd,59.9,555000.0,85,999,1,0,0,1,1,1,53.96,Eligible
ARG45,23,male,Chhattisgarh,phd,88.1,567000.0,65,999,1,0,0,1,0,1,65.24,Borderline
A023B,23,male,Tamil Nadu,bachelors,85.3,113000.0,6,999,0,0,0,1,1,1,84.12,Ineligible
A023B,21,male,Maharashtra,masters,85.2,572000.0,3,999,1,0,0,1,1,1,74.08,Eligible
BPVGK,14,male,Gujarat,10th,56.5,40000.0,999,999,1,0,0,1,1,1,55.6,Eligible
BPVGK,17,male,Manipur,10th,64.8,323000.0,999,999,1,0,0,1,1,1,53.92,Ineligible
A023B,24,female,Kerala,masters,64.4,798000.0,65,999,1,0,0,1,1,1,55.76,Ineligible
BVOBC,24,male,Tripura,bachelors,94.5,350000.0,85,999,1,0,0,1,1,1,72.8,Ineligible
BVOBC,23,male,Manipur,12th,68.1,383000.0,5,999,1,0,0,0,1,1,72.24,Ineligible
ARG45,24,male,Telangana,phd,84.3,513000.0,250,999,0,0,0,1,1,1,56.72,Ineligible
AZKMI,28,other,Nagaland,postdoc,92.6,177000.0,999,21,1,0,0,1,1,1,87.04,Eligible
A023B,21,female,Tamil Nadu,bachelors,85.7,367000.0,1,999,1,0,0,1,1,1,84.28,Eligible
AZKMI,21,male,Gujarat,masters,81.9,153000.0,999,2,0,0,0,1,1,1,82.76,Ineligible
ARG45,25,female,Kerala,phd,86.3,220000.0,2,999,1,0,0,1,1,1,84.52,Eligible
ARG45,33,male,Chhattisgarh,phd,86.0,152000.0,1,999,1,0,0,1,1,1,84.4,Eligible
ARG45,35,male,Sikkim,masters,52.3,899000.0,85,999,0,0,0,1,1,1,45.92,Ineligible
A023B,20,female,Tripura,masters,55.1,361000.0,250,999,1,0,0,1,1,1,55.04,Ineligible
BVOBC,17,male,Rajasthan,12th,83.1,61000.0,140,999,1,0,0,1,1,1,66.24,Eligible
BPVGK,14,female,Maharashtra,10th,78.8,105000.0,999,999,1,0,0,1,1,1,69.52,Eligible
A023B,23,male,Arunachal Pradesh,masters,63.8,596000.0,1,999,1,0,0,1,1,1,65.52,Eligible
BPVGK,14,female,Tamil Nadu,10th,48.7,98000.0,999,999,1,0,0,1,0,1,57.48,Ineligible
BPVGK,16,female,Maharashtra,10th,75.6,346000.0,999,999,1,0,0,1,1,1,63.24,Ineligible
AZKMI,24,male,Assam,postdoc,74.9,345000.0,999,37,1,0,0,1,1,1,74.96,Eligible
A023B,24,male,Odisha,masters,56.9,320000.0,6,999,1,0,0,1,1,1,67.76,Eligible
ARG45,35,male,Assam,phd,76.2,184000.0,6,999,1,0,0,1,0,0,80.48,Borderline
ARG45,27,female,Gujarat,phd,93.8,690000.0,2,999,1,0,0,0,1,1,77.52,Ineligible
ARG45,28,male,Manipur,masters,62.0,721000.0,2,999,1,0,0,1,1,1,59.8,Eligible
BPVGK,15,female,Gujarat,10th,64.9,119000.0,999,999,1,0,0,1,1,1,63.96,Eligible
A023B,18,male,Karnataka,bachelors,92.7,268000.0,6,999,1,0,0,1,1,1,82.08,Eligible
A023B,21,other,Chhattisgarh,masters,56.9,394000.0,5,999,1,0,0,0,1,1,67.76,Ineligible
A023B,19,male,Manipur,masters,76.8,560000.0,6,999,1,0,0,1,1,1,70.72,Eligible
BVOBC,17,female,Kerala,bachelors,59.6,195000.0,88,999,1,0,0,1,1,1,68.84,Eligible
A023B,22,male,Maharashtra,masters,59.0,765000.0,6,999,1,0,0,1,1,1,58.6,Ineligible
A023B,21,male,Madhya Pradesh,masters,76.3,256000.0,85,999,1,0,0,1,1,1,65.52,Eligible
ARG45,30,male,Telangana,masters,91.3,162000.0,6,999,1,0,0,1,0,1,86.52,Borderline
BPVGK,17,male,Tamil Nadu,10th,86.5,205000.0,999,999,1,0,0,1,1,1,62.6,Eligible
AZKMI,37,female,Meghalaya,phd,78.2,347000.0,999,2,1,0,0,1,1,1,81.28,Ineligible
ARG45,23,female,Assam,phd,68.3,516000.0,59,999,1,0,0,1,1,1,62.32,Eligible
BPVGK,14,female,Kerala,10th,92.1,126000.0,999,999,1,0,0,1,1,1,74.84,Eligible
A023B,25,male,Tamil Nadu,bachelors,66.7,430000.0,1,999,1,0,0,1,1,0,66.68,Borderline
A023B,18,male,Kerala,bachelors,82.6,178000.0,85,999,1,0,0,1,1,1,73.04,Eligible
BPVGK,14,female,Arunachal Pradesh,10th,68.5,270000.0,999,999,1,0,0,1,0,1,60.4,Ineligible
ARG45,25,male,Odisha,masters,87.8,582000.0,2,999,1,0,0,1,1,1,75.12,Eligible
BVOBC,18,male,Maharashtra,12th,94.2,79000.0,85,999,1,0,0,1,1,1,77.68,Eligible
AZKMI,28,male,Rajasthan,masters,81.4,371000.0,999,32,1,0,0,1,1,1,77.56,Eligible
A023B,23,male,Madhya Pradesh,bachelors,91.5,672000.0,1,999,1,0,0,1,1,1,71.6,Ineligible
BVOBC,24,male,Meghalaya,bachelors,67.2,303000.0,5,999,1,0,0,1,1,1,71.88,Ineligible
AZKMI,33,female,Sikkim,phd,51.3,866000.0,999,4,1,0,0,1,1,1,60.52,Ineligible
BVOBC,20,female,Jharkhand,12th,57.3,186000.0,2,999,1,0,0,1,1,1,77.92,Eligible
BVOBC,20,female,Gujarat,bachelors,78.9,173000.0,250,999,1,0,0,1,0,1,69.56,Borderline
AZKMI,24,female,Nagaland,postdoc,58.7,208000.0,999,22,0,0,0,1,1,1,73.48,Ineligible
BVOBC,18,male,Telangana,12th,60.1,170000.0,72,999,1,0,0,1,1,1,64.04,Eligible
BPVGK,17,male,Assam,10th,50.1,34000.0,999,999,1,0,0,1,1,1,53.04,Eligible
BPVGK,14,female,Andhra Pradesh,10th,65.0,54000.0,999,999,1,0,0,1,1,1,64.0,Eligible
A023B,24,female,Gujarat,bachelors,88.4,354000.0,59,999,1,0,0,0,1,1,75.36,Ineligible
BVOBC,21,male,Rajasthan,12th,53.0,103000.0,3,999,1,0,0,1,1,1,71.2,Eligible
A023B,25,female,Nagaland,bachelors,84.6,745000.0,2,999,1,0,0,1,1,1,73.84,Ineligible
BVOBC,21,female,Maharashtra,bachelors,51.3,288000.0,110,999,1,0,0,0,1,1,53.52,Ineligible
ARG45,31,female,Arunachal Pradesh,phd,51.2,252000.0,85,999,0,0,0,1,1,1,60.48,Ineligible
BVOBC,19,female,Sikkim,bachelors,77.4,217000.0,3,999,1,0,0,1,1,1,80.96,Eligible
ARG45,26,female,Arunachal Pradesh,phd,86.6,522000.0,78,999,1,0,0,1,1,1,69.64,Eligible
BPVGK,17,male,Jharkhand,10th,65.7,90000.0,999,999,1,0,0,1,1,1,59.28,Eligible
BVOBC,21,female,Karnataka,bachelors,89.9,214000.0,85,999,1,0,0,0,1,1,75.96,Ineligible
ARG45,25,male,Karnataka,masters,70.8,159000.0,6,999,1,0,0,1,1,1,78.32,Eligible
BVOBC,19,other,Gujarat,bachelors,54.7,256000.0,6,999,1,0,0,1,1,1,66.88,Ineligible
A023B,18,male,Telangana,masters,86.2,683000.0,2,999,1,0,0,1,1,1,69.48,Ineligible
BVOBC,20,female,Manipur,bachelors,56.9,319000.0,65,999,1,0,0,1,1,1,62.76,Ineligible
AZKMI,22,other,Assam,masters,72.6,631000.0,999,2,0,0,0,1,1,1,64.04,Ineligible
ARG45,34,male,Assam,phd,65.2,642000.0,3,999,1,0,0,1,1,1,61.08,Eligible
AZKMI,22,male,Andhra Pradesh,postdoc,53.1,668000.0,999,6,0,0,0,1,0,1,56.24,Ineligible
BVOBC,17,female,Maharashtra,12th,61.5,60000.0,95,999,1,0,0,1,1,1,69.6,Eligible
A023B,24,male,Maharashtra,bachelors,76.4,500000.0,6,999,1,0,0,1,1,1,70.56,Eligible
AZKMI,32,male,Madhya Pradesh,postdoc,63.5,966000.0,999,650,1,0,0,1,1,1,40.4,Ineligible
ARG45,33,male,Kerala,phd,51.0,757000.0,110,999,1,0,0,1,1,1,38.4,Ineligible
ARG45,36,male,Andhra Pradesh,phd,84.9,253000.0,95,999,1,0,0,1,1,1,68.96,Eligible
BVOBC,17,male,Assam,bachelors,85.2,52000.0,95,999,1,0,0,1,1,1,74.08,Eligible
BVOBC,22,female,Assam,bachelors,87.4,133000.0,140,999,1,0,0,0,1,1,72.96,Ineligible
BVOBC,20,female,Madhya Pradesh,bachelors,94.3,330000.0,95,999,1,0,0,1,1,1,77.72,Ineligible
ARG45,35,female,Meghalaya,phd,54.9,256000.0,85,999,1,0,0,0,1,1,61.96,Ineligible
BVOBC,21,male,Sikkim,bachelors,51.0,56000.0,65,999,1,0,0,1,1,1,60.4,Eligible
BPVGK,17,female,Sikkim,10th,74.4,263000.0,999,999,1,0,0,1,1,1,62.76,Ineligible
BVOBC,20,male,Meghalaya,bachelors,67.7,125000.0,95,999,1,1,63,1,1,1,72.08,Eligible
BPVGK,14,female,Tripura,10th,92.5,294000.0,999,999,1,0,0,1,1,1,70.0,Ineligible
BPVGK,15,female,Manipur,10th,84.3,96000.0,999,999,1,0,0,1,1,1,71.72,Eligible
BVOBC,17,female,Assam,bachelors,88.8,92000.0,6,999,1,0,0,1,1,1,90.52,Eligible
BPVGK,15,female,Mizoram,10th,74.4,35000.0,999,999,1,0,0,1,1,1,67.76,Eligible
ARG45,30,female,Sikkim,masters,70.3,246000.0,65,999,1,0,0,1,1,1,68.12,Eligible
BVOBC,23,female,Andhra Pradesh,12th,70.0,367000.0,3,999,1,0,0,1,1,1,78.0,Ineligible
ARG45,27,male,Kerala,phd,94.8,506000.0,78,999,1,0,0,1,1,1,67.92,Eligible
BVOBC,20,male,Karnataka,bachelors,68.0,122000.0,88,999,1,0,0,1,1,1,67.2,Eligible
AZKMI,25,female,Meghalaya,postdoc,91.5,160000.0,999,2,1,0,0,1,1,1,91.6,Eligible
ARG45,23,male,Karnataka,phd,65.9,619000.0,59,999,1,0,0,1,0,1,51.36,Borderline
AZKMI,36,male,Rajasthan,masters,88.1,415000.0,999,22,1,0,0,1,1,1,75.24,Ineligible
BPVGK,14,male,Tamil Nadu,10th,75.4,241000.0,999,999,1,0,0,1,1,1,58.16,Eligible
BVOBC,23,male,Mizoram,12th,52.2,268000.0,85,999,1,1,49,1,1,1,60.88,Ineligible
A023B,19,female,Nagaland,bachelors,61.7,623000.0,65,999,1,0,0,1,1,1,54.68,Ineligible
AZKMI,24,male,Chhattisgarh,phd,80.5,634000.0,999,22,1,0,0,1,0,1,67.2,Ineligible
ARG45,26,male,Assam,phd,55.4,478000.0,59,999,1,0,0,1,1,1,52.16,Eligible
BVOBC,17,male,Madhya Pradesh,bachelors,46.0,372000.0,88,999,1,0,0,1,1,1,53.4,Ineligible
A023B,20,female,Jharkhand,masters,90.8,742000.0,65,999,1,0,0,1,1,1,66.32,Ineligible
AZKMI,23,female,Manipur,postdoc,78.5,578000.0,999,1,0,0,0,1,0,1,76.4,Ineligible
ARG45,31,female,Meghalaya,masters,84.2,611000.0,1,999,0,0,0,1,1,1,73.68,Ineligible
A023B,23,male,Kerala,masters,61.5,129000.0,6,999,1,0,0,1,1,1,74.6,Eligible
A023B,19,female,Mizoram,bachelors,81.4,445000.0,5,999,0,0,0,1,1,1,77.56,Ineligible
A023B,20,female,Tamil Nadu,bachelors,74.4,664000.0,88,999,1,0,0,1,1,1,59.76,Ineligible
A023B,22,male,Maharashtra,masters,72.6,324000.0,1,999,1,0,0,1,1,1,74.04,Eligible
BVOBC,22,male,Tamil Nadu,12th,74.7,91000.0,95,999,1,0,0,1,1,1,69.88,Eligible
ARG45,28,male,Madhya Pradesh,phd,86.6,623000.0,250,999,1,0,0,1,1,1,52.64,Eligible
AZKMI,36,male,Manipur,masters,60.2,224000.0,999,2,1,0,0,1,1,1,69.08,Ineligible
A023B,24,male,Tamil Nadu,bachelors,62.0,679000.0,3,999,1,0,0,1,1,1,59.8,Ineligible
BPVGK,15,male,Sikkim,10th,60.5,289000.0,999,999,1,0,0,1,1,1,52.2,Ineligible
BPVGK,17,other,Sikkim,10th,70.1,164000.0,999,999,1,0,0,1,1,1,61.04,Eligible
BPVGK,14,female,Andhra Pradesh,10th,80.6,195000.0,999,999,1,0,0,1,1,1,70.24,Eligible
A023B,21,male,Arunachal Pradesh,masters,93.0,750000.0,1,999,1,0,0,1,0,1,72.2,Ineligible
ARG45,24,male,Manipur,masters,62.9,757000.0,6,999,1,0,0,1,1,1,60.16,Eligible
ARG45,33,female,Assam,phd,55.0,302000.0,72,999,1,0,0,1,1,1,62.0,Eligible
ARG45,22,male,Andhra Pradesh,masters,82.3,305000.0,85,999,1,0,0,1,1,1,67.92,Eligible
ARG45,30,male,Madhya Pradesh,masters,67.6,455000.0,110,999,0,0,0,1,1,1,50.04,Ineligible
AZKMI,31,male,Chhattisgarh,masters,52.0,591000.0,999,32,1,0,0,1,1,1,60.8,Ineligible
BVOBC,17,female,Sikkim,12th,90.2,154000.0,72,999,1,1,52,1,0,1,86.08,Borderline
AZKMI,22,male,Rajasthan,postdoc,64.9,212000.0,999,8,1,0,0,1,1,1,70.96,Eligible
BPVGK,16,male,Andhra Pradesh,10th,85.1,263000.0,999,999,1,0,0,1,1,1,62.04,Ineligible
A023B,22,female,Madhya Pradesh,masters,74.2,597000.0,2,999,1,0,0,1,1,1,74.68,Eligible
BPVGK,17,female,Odisha,10th,63.2,286000.0,999,999,1,0,0,1,0,1,58.28,Ineligible
BVOBC,20,male,Odisha,bachelors,63.5,382000.0,65,999,1,0,0,1,1,1,60.4,Ineligible
AZKMI,32,male,Kerala,phd,64.1,351000.0,999,2,1,0,0,1,1,1,70.64,Eligible
AZKMI,30,female,Sikkim,postdoc,91.2,542000.0,999,2,1,0,0,1,1,1,81.48,Eligible
ARG45,33,male,Manipur,masters,74.7,304000.0,72,999,1,0,0,1,0,1,64.88,Borderline
BVOBC,19,male,Chhattisgarh,12th,85.3,49000.0,95,999,1,0,0,1,0,1,74.12,Borderline
BPVGK,17,female,Tripura,10th,71.3,276000.0,999,999,1,0,0,1,1,0,61.52,Ineligible
BVOBC,19,female,Telangana,12th,67.1,368000.0,65,999,1,0,0,1,1,1,66.84,Ineligible
ARG45,30,male,Gujarat,phd,88.1,271000.0,5,999,1,0,0,1,1,1,80.24,Eligible
ARG45,31,male,Assam,phd,87.9,533000.0,85,999,1,0,0,0,1,1,65.16,Ineligible
ARG45,29,male,Tamil Nadu,phd,78.9,314000.0,2,999,1,0,0,1,1,1,76.56,Eligible
ARG45,27,female,Andhra Pradesh,masters,64.1,663000.0,95,999,0,0,0,1,1,1,55.64,Ineligible
AZKMI,25,female,Meghalaya,masters,52.3,951000.0,999,37,1,0,0,1,0,1,60.92,Ineligible
ARG45,36,female,Telangana,phd,72.4,136000.0,110,999,1,0,0,0,1,1,66.96,Ineligible
ARG45,22,male,Andhra Pradesh,masters,69.4,801000.0,95,999,1,0,0,1,1,1,52.76,Eligible
ARG45,29,male,Madhya Pradesh,phd,87.1,584000.0,2,999,1,0,0,1,1,0,74.84,Borderline
A023B,24,female,Assam,bachelors,56.9,179000.0,2,999,1,0,0,1,1,1,77.76,Eligible
BPVGK,16,female,Tripura,10th,74.7,192000.0,999,999,1,0,0,1,1,1,67.88,Eligible
